Year,Winner,Country,Time,Distance (Miles),Distance (KM)
1897,John McDermott,United States,02:55:10,24.5,39.4
1898,Ronald MacDonald,Canada,02:42:00,24.5,39.4
1899,Lawrence Brignolia,United States,02:54:38,24.5,39.4
1900,Jack Caffery,Canada,02:39:44,24.5,39.4
1901,Jack Caffery,Canada,02:29:23,24.5,39.4
1902,Sammy Mellor,United States,02:43:12,24.5,39.4
1903,John Lordan,United States,02:41:29,24.5,39.4
1904,Michael Spring,United States,02:38:04,24.5,39.4
1905,Frederick Lorz,United States,02:38:25,24.5,39.4
1906,Timothy Ford,United States,02:45:45,24.5,39.4
1907,Tom Longboat,Canada,02:24:24,24.5,39.4
1908,Thomas Morrissey,United States,02:25:43,24.5,39.4
1909,Henri Renaud,United States,02:53:36,24.5,39.4
1910,Fred S. Cameron,Canada,02:28:52,24.5,39.4
1911,Clarence DeMar,United States,02:21:39,24.5,39.4
1912,Michael J. Ryan,United States,02:21:18,24.5,39.4
1913,Fritz Carlson,United States,02:25:14,24.5,39.4
1914,Jimmy Duffy,Canada,02:25:14,24.5,39.4
1915,Édouard Fabre,Canada,02:31:41,24.5,39.4
1916,Arthur Roth,United States,02:27:16,24.5,39.4
1917,Bill Kennedy,United States,02:28:37,24.5,39.4
,,,,,
1919,Carl Linder,United States,02:29:13,24.5,39.4
1920,Panagiotis Trivoulidas,Greece,02:29:31,24.5,39.4
1921,Frank Zuna,United States,02:18:57,24.5,39.4
1922,Clarence DeMar,United States,02:18:10,24.5,39.4
1923,Clarence DeMar,United States,02:23:47,24.5,39.4
1924,Clarence DeMar,United States,02:29:40,26.1,42.0
1925,Charles Mellor,United States,02:33:00,26.1,42.0
1926,Johnny Miles,Canada,02:25:40,26.1,42.0
1927,Clarence DeMar,United States,02:40:22,26.2,42.2
1928,Clarence DeMar,United States,02:37:07,26.2,42.2
1929,Johnny Miles,Canada,02:33:08,26.2,42.2
1930,Clarence DeMar,United States,02:34:48,26.2,42.2
1931,James Henigan,United States,02:46:45,26.2,42.2
1932,Paul de Bruyn,Germany,02:33:36,26.2,42.2
1933,Les Pawson,United States,02:31:01,26.2,42.2
1934,Dave Komonen,Canada,02:32:53,26.2,42.2
1935,Johnny Kelley,United States,02:32:07,26.2,42.2
1936,Ellison Brown,United States,02:33:40,26.2,42.2
