Year,Winner,Country,Time,Distance (Miles),Distance (KM)
1966,Bobbi Gibb,United States,3:21:40,26.2,42.2
1967,Bobbi Gibb,United States,3:27:17,26.2,42.2
1968,Bobbi Gibb,United States,3:30:00,26.2,42.2
1969,Sara Mae Berman,United States,3:22:46,26.2,42.2
1970,Sara Mae Berman,United States,3:05:07,26.2,42.2
1971,Sara Mae Berman,United States,3:08:30,26.2,42.2
1972,Nina Kuscsik,United States,3:10:26,26.2,42.2
1973,Jacqueline Hansen,United States,3:05:59,26.2,42.2
1974,Miki Gorman,United States,2:47:11,26.2,42.2
1975,Liane Winter,Germany,2:42:24,26.2,42.2
1976,Kim Merritt,United States,2:47:10,26.2,42.2
1977,Miki Gorman,United States,2:48:33,26.2,42.2
1978,Gayle Barron,United States,2:44:52,26.2,42.2
1979,Joan Benoit,United States,2:35:15,26.2,42.2
1980,Jacqueline Gareau,Canada,2:34:28,26.2,42.2
1981,Allison Roe,New Zealand,2:26:46,26.2,42.2
1982,Charlotte Teske,Germany,2:29:33,26.2,42.2
1983,Joan Benoit,United States,2:22:43,26.2,42.2
1984,Lorraine Moller,New Zealand,2:29:28,26.2,42.2
1985,Lisa Larsen Weidenbach,United States,2:34:06,26.2,42.2
1986,Ingrid Kristiansen,Norway,2:24:55,26.2,42.2
1987,Rosa Mota,Portugal,2:25:21,26.2,42.2
1988,Rosa Mota,Portugal,2:24:30,26.2,42.2
1989,Ingrid Kristiansen,Norway,2:24:33,26.2,42.2
1990,Rosa Mota,Portugal,2:25:24,26.2,42.2
1991,Wanda Panfil,Poland,2:24:18,26.2,42.2
1992,Olga Markova,Russia,2:23:43,26.2,42.2
1993,Olga Markova,Russia,2:25:27,26.2,42.2
1994,Uta Pippig,Germany,2:21:45,26.2,42.2
1995,Uta Pippig,Germany,2:25:11,26.2,42.2
1996,Uta Pippig,Germany,2:27:12,26.2,42.2
1997,Fatuma Roba,Ethiopia,2:26:23,26.2,42.2
1998,Fatuma Roba,Ethiopia,2:23:21,26.2,42.2
1999,Fatuma Roba,Ethiopia,2:23:25,26.2,42.2
2000,Catherine Ndereba,Kenya,2:26:11,26.2,42.2
2001,Catherine Ndereba,Kenya,2:23:53,26.2,42.2
2002,Margaret Okayo,Kenya,2:20:43,26.2,42.2
2003,Svetlana Zakharova,Russia,2:25:19,26.2,42.2
2004,Catherine Ndereba,Kenya,2:24:27,26.2,42.2
2005,Catherine Ndereba,Kenya,2:25:12,26.2,42.2
2006,Rita Jeptoo,Kenya,2:23:38,26.2,42.2
2007,Lidiya Grigoryeva,Russia,2:29:18,26.2,42.2
2008,Dire Tune,Ethiopia,2:25:25,26.2,42.2
2009,Salina Kosgei,Kenya,2:32:16,26.2,42.2
2010,Teyba Erkesso,Ethiopia,2:26:11,26.2,42.2
2011,Caroline Kilel,Kenya,2:22:36,26.2,42.2
2012,Sharon Cherop,Kenya,2:31:50,26.2,42.2
2013,Rita Jeptoo,Kenya,2:26:25,26.2,42.2
2014,Buzunesh Deba,Ethiopia,2:19:59,26.2,42.2
2015,Caroline Rotich,Kenya,2:24:55,26.2,42.2
2016,Atsede Baysa,Ethiopia,2:29:19,26.2,42.2
2017,Edna Kiplagat,Kenya,2:21:52,26.2,42.2
2018,Desiree Linden,United States,2:39:54,26.2,42.2
2019,Worknesh Degefa,Ethiopia,2:23:31,26.2,42.2
,,,,26.2,42.2
2021,Edna Kiplagat,Kenya,2:25:09,26.2,42.2
2022,Peres Jepchirchir,Kenya,2:21:02,26.2,42.2
